SubjectID,DNCondition,DNStatus,AgeDays,AgeYears,DNStatus.x,DNCondition.x,Child.Ditty.x,TotCorr.x,DNStatus.y,DNCondition.y,Child.Ditty.y,TotCorr.y
30,BETWEEN,Okay,1406,3.85,OKAY,BETWEEN,NA,8,OKAY,IMM-BETWEEN,N,7
31,WITHIN,Okay,1420,3.89,OKAY,WITHIN,NA,13,OKAY,TAP-WITHIN,N,14
32,WITHIN,Okay,1428,3.91,OKAY,WITHIN,NA,15,OKAY,TAP-WITHIN,N,15
34,BETWEEN,Okay,1208,3.31,OKAY,BETWEEN,NA,10,OKAY,TAP-BETWEEN,N,10
35,BETWEEN,Okay,1142,3.13,OKAY,BETWEEN,NA,5,OKAY,RULE-BETWEEN,N,5
36,BETWEEN,Okay,1295,3.55,OKAY,BETWEEN,NA,15,OKAY,TAP-BETWEEN,N,16
37,BETWEEN,Okay,1416,3.88,OKAY,BETWEEN,NA,16,OKAY,RULE-BETWEEN,N,16
38,BETWEEN,Okay,1189,3.26,OKAY,BETWEEN,NA,4,OKAY,IMM-BETWEEN,N,3
41,WITHIN,Okay,1164,3.19,OKAY,WITHIN,NA,8,OKAY,RULE-WITHIN,N,8
42,WITHIN,Okay,1769,4.84,OKAY,WITHIN,NA,4,OKAY,IMM-WITHIN,N,4
43,WITHIN,Okay,1418,3.88,OKAY,WITHIN,NA,10,OKAY,RULE-WITHIN,NA,10
44,WITHIN,Okay,1174,3.21,OKAY,WITHIN,NA,14,OKAY,IMM-WITHIN,N,12
46,BETWEEN,Okay,1746,4.78,OKAY,BETWEEN,Y,8,OKAY,IMM-BETWEEN,N,8
47,WITHIN,*PossibleDrop,1741,4.77,OKAY,WITHIN,NA,15,OKAY,TAP-WITHIN,N,15
50,BETWEEN,Okay,1230,3.37,OKAY,BETWEEN,NA,16,OKAY,BETWEEN-IMM,N,12
51,BETWEEN,Okay,1348,3.69,OKAY,BETWEEN,NA,16,OKAY,BETWEEN-IMM,NA,14
